accession,species
GCF_900566065.1,Mycobacterium attenuatum
GCF_900566105.1,Mycobacterium attenuatum
GCF_000455305.1,Mycobacterium simiae
GCF_002093075.1,Mycobacterium simiae
GCF_010727605.1,Mycobacterium simiae
GCF_002553535.1,Mycobacterium boenickei
GCF_900166915.1,Mycobacterium boenickei
GCF_010731295.1,Mycobacterium boenickei
GCF_900566055.1,Mycobacterium innocens
GCF_001552715.1,Mycobacterium vaccae
GCF_001655245.1,Mycobacterium vaccae
GCF_000295825.1,Mycobacterium vaccae
GCF_000379865.1,Mycobacterium hassiacum
GCF_900603025.1,Mycobacterium hassiacum
GCF_000300375.1,Mycobacterium hassiacum
GCF_001666815.1,Mycobacterium alsense
GCF_002086635.1,Mycobacterium alsense
GCF_001672935.1,Mycobacterium alsense
GCF_001722445.1,Mycobacterium shimoidei
GCF_900417275.1,Mycobacterium shimoidei
GCF_001953995.1,Mycobacterium nonchromogenicum
GCF_002101775.1,Mycobacterium nonchromogenicum
GCF_001672655.1,Mycobacterium nonchromogenicum
GCF_000759695.1,Mycobacterium kyorinense
GCF_002101735.1,Mycobacterium kyorinense
GCF_001439515.1,Mycobacterium kyorinense
GCF_001722345.1,Mycobacterium intermedium
GCF_002086275.1,Mycobacterium intermedium
GCF_900187065.1,Mycobacterium thermoresistibile
GCF_000234585.1,Mycobacterium thermoresistibile
GCF_001570505.1,Mycobacterium thermoresistibile
GCF_002101955.1,Mycobacterium terrae
GCF_010727125.1,Mycobacterium terrae
GCF_900187145.1,Mycobacterium terrae
GCF_002101655.1,Mycobacterium hiberniae
GCF_010729485.1,Mycobacterium hiberniae
GCF_010731835.1,Mycobacterium koreense
GCF_002104795.1,Mycobacterium koreense
GCF_001722415.1,Mycobacterium koreense
GCF_003515645.1,Mycobacterium shigaense
GCF_002356315.1,Mycobacterium shigaense
GCF_002983495.1,Mycobacterium shigaense
GCF_001667375.1,Mycobacterium sinense_A
GCF_001673565.1,Mycobacterium sinense_A
GCF_001667395.1,Mycobacterium sinense_A
GCF_002553495.1,Mycobacterium diernhoferi
GCF_002024975.1,Mycobacterium diernhoferi
GCF_001907655.1,Mycobacterium diernhoferi
GCF_000612725.1,Mycobacterium austroafricanum
GCF_000015305.1,Mycobacterium austroafricanum
GCF_016919645.1,Mycobacterium austroafricanum
GCF_002086595.1,Mycobacterium chubuense
GCF_900453455.1,Mycobacterium chubuense
GCF_001044255.1,Mycobacterium chubuense
GCF_001672735.1,Mycobacterium sinense_B
GCF_001667945.1,Mycobacterium sinense_B
GCF_003933725.1,Mycobacterium sinense_B
GCF_002086175.1,Mycobacterium celeriflavum
GCF_001667065.1,Mycobacterium celeriflavum
GCF_010731795.1,Mycobacterium celeriflavum
GCF_900073015.1,Mycobacterium brumae
GCF_004014795.1,Mycobacterium brumae
GCF_002553575.1,Mycobacterium brumae
GCF_001673635.1,Mycobacterium asiaticum_C
GCF_001673345.1,Mycobacterium asiaticum_C
GCF_010731695.1,Mycobacterium litorale
GCF_004366555.1,Mycobacterium litorale
GCF_000966355.1,Mycobacterium lepromatosis
GCF_000975265.1,Mycobacterium lepromatosis
GCF_002086405.1,Mycobacterium minnesotense
GCF_010731755.1,Mycobacterium minnesotense
GCF_002086255.1,Mycobacterium insubricum
GCF_010731615.1,Mycobacterium insubricum
GCF_002553585.1,Mycobacterium duvalii
GCF_010726645.1,Mycobacterium duvalii
GCF_007714185.1,Mycobacterium helveticum
GCF_007714205.1,Mycobacterium helveticum
GCF_002102355.1,Mycobacterium sherrisii
GCF_001722325.1,Mycobacterium sherrisii
GCF_010731535.1,Mycobacterium lacus
GCF_002102215.1,Mycobacterium lacus
GCF_002102095.1,Mycobacterium conspicuum
GCF_010730195.1,Mycobacterium conspicuum
GCF_010728325.1,Mycobacterium poriferae
GCF_000689255.1,Mycobacterium triplex
GCF_002102415.1,Mycobacterium triplex
GCF_900453085.1,Mycobacterium aichiense
GCF_010726245.1,Mycobacterium aichiense
GCF_001854525.1,Mycobacterium eburneum
GCF_001632895.1,Mycobacterium ostraviense
GCF_002705925.1,Mycobacterium ostraviense
GCF_002102105.1,Mycobacterium confluentis
GCF_010729895.1,Mycobacterium confluentis
GCF_012223425.1,Mycobacterium frederiksbergense
GCF_002086305.1,Mycobacterium malmoense_B
GCF_001870845.1,Mycobacterium malmoense_B
GCF_002101885.1,Mycobacterium senuense
GCF_010723225.1,Mycobacterium senuense
GCF_001570425.1,Mycobacterium brisbanense
GCF_002086215.1,Mycobacterium heidelbergense
GCF_010730745.1,Mycobacterium heidelbergense
GCF_002102175.1,Mycobacterium gastri
GCF_002101705.1,Mycobacterium iranicum
GCF_000455165.1,Mycobacterium iranicum
GCF_900232995.1,Mycobacterium simulans
GCF_900232515.1,Mycobacterium simulans
GCF_002086475.1,Mycobacterium paraseoulense
